strain,angular_velocity_head_tip_w_backward_IQR_medianDiff_all,angular_velocity_head_tip_w_backward_abs_10th_medianDiff_all,angular_velocity_head_tip_w_backward_abs_50th_medianDiff_all,d_angular_velocity_head_tip_w_backward_10th_medianDiff_all,d_angular_velocity_head_tip_w_backward_90th_medianDiff_all,d_angular_velocity_head_tip_w_backward_IQR_medianDiff_all,d_angular_velocity_head_tip_w_backward_abs_10th_medianDiff_all,d_angular_velocity_head_tip_w_backward_abs_50th_medianDiff_all,d_relative_to_head_base_angular_velocity_head_tip__medianDiff_all,d_relative_to_head_base_radial_velocity_head_tip_w_medianDiff_all,d_relative_to_neck_radial_velocity_head_tip_w_back_medianDiff_all,relative_to_body_radial_velocity_hips_w_backward_5_medianDiff_all,relative_to_body_radial_velocity_neck_w_forward_50_medianDiff_all,relative_to_head_base_angular_velocity_head_tip_w__medianDiff_all,relative_to_head_base_radial_velocity_head_tip_w_b_medianDiff_all,relative_to_neck_radial_velocity_head_tip_w_backwa_medianDiff_all
JU3140,-0.33458,-0.032126,-0.16765,1.4983,-1.2482,-1.6601,-0.17832,-0.82142,-0.81823,-1.5538,5.169,0.34217,0.25316,-0.15316,-0.18108,0.57711
JU323,-0.20889,-0.02233,-0.10516,0.40627,-0.56829,-1.1607,-0.10626,-0.57961,-0.51611,-2.8402,3.7318,0.51822,0.33758,-0.053286,-0.61336,0.85896
JU346,0.084034,0.0096083,0.043071,-0.14139,-0.079555,-0.15614,-0.028683,-0.078915,-0.30738,-0.54047,0.46588,0.12458,0.47259,0.010982,-0.37388,0.56539
JU360,-0.78178,-0.078354,-0.38621,2.0386,-2.4058,-3.4016,-0.31482,-1.7159,-1.1789,-10.5875,11.9581,2.5237,0.35912,-0.25648,-2.1613,3.2257
JU367,-0.10425,-0.0093703,-0.047627,0.97902,-0.85275,-1.2361,-0.11922,-0.63605,-0.61457,-7.8817,-1.4336,0.41327,0.37416,-0.084462,-1.2516,0.50431
JU393,-0.45062,-0.022248,-0.21939,1.1198,-1.1473,-1.3282,-0.10654,-0.66807,-0.49466,-6.281,6.564,0.48294,0.084912,-0.10101,-1.218,0.88553
JU394,-0.058685,-0.0044422,-0.031852,0.54183,-0.77854,-0.77713,-0.076904,-0.3863,-0.44917,-6.8678,2.8481,0.60463,0.24039,0.0048828,-1.4527,0.25836
JU397,-0.53008,-0.046768,-0.26498,1.5285,-0.7914,-1.517,-0.10115,-0.76124,-0.39205,-3.5254,7.192,1.1094,0.08681,-0.073202,-0.82753,1.9001
JU406,0.016933,-0.016419,0.0092255,0.56008,-0.41259,-0.75099,-0.10684,-0.37778,-0.36127,-4.4947,0.50257,0.74963,0.18022,-0.0073929,-0.74582,0.64202
JU440,-0.34947,-0.034318,-0.17461,0.57557,-0.70391,-1.3153,-0.16139,-0.65967,-0.71039,-6.4304,4.0118,0.7535,0.28065,-0.15891,-1.3404,1.4157
