strain,blob_box_length_IQR_medianDiff_all,blob_box_length_w_paused_90th_medianDiff_all,blob_box_length_w_paused_IQR_medianDiff_all,d_blob_box_length_10th_medianDiff_all,d_blob_box_length_90th_medianDiff_all,d_length_w_backward_10th_medianDiff_all,d_length_w_backward_50th_medianDiff_all,d_length_w_backward_IQR_medianDiff_all,length_norm_10th_medianDiff_all,length_norm_90th_medianDiff_all,length_norm_IQR_medianDiff_all
LKC34,24.4602,237.3121,-27.3086,-7.3648,9.0949,8.4944,1.0328,-6.6698,0.0084863,-0.0047382,-0.0092103
LSJ1,37.6345,437.6852,99.061,-9.4313,7.1156,6.5386,0.39852,-7.81,0.0064812,-0.0034291,-0.0052029
MY1,-7.0475,135.6145,145.1532,-16.5213,16.3424,9.7717,1.8608,-7.1544,0.0099516,-0.0089711,-0.011294
MY10,27.8895,237.817,97.1854,3.6669,-1.0622,2.5916,0.70583,-1.9434,0.0019639,-0.0023558,-0.0028913
MY16,35.0595,399.0328,210.2479,-11.8183,12.1626,0.26711,1.0129,-0.42852,0.0073264,-0.0035216,-0.0061766
MY18,31.5456,-139.3534,-18.395,-7.9268,9.9047,8.2711,0.91718,-5.7387,0.0032962,-0.0023407,-0.004558
MY2212,22.6769,-38.0385,-9.9315,-9.919,9.7899,14.0947,1.6467,-12.1661,0.010868,-0.0081403,-0.0092004
MY23,18.4904,357.3746,226.1612,-19.2192,17.2054,11.5024,0.86658,-7.4883,0.013143,-0.0034502,-0.0081611
MY2453,-1.014,470.2911,34.6577,-13.7568,11.819,9.8255,0.92617,-6.3673,0.013335,-0.0057023,-0.01004
MY2530,25.6116,155.928,90.402,-3.1202,4.2602,8.3826,0.63225,-5.9565,0.0073341,-0.0018126,-0.0049031
MY2535,19.224,199.7257,121.2211,-6.3875,9.1268,4.7766,1.8165,-3.6428,0.0097367,-0.0052286,-0.0090684
MY2573,26.6012,378.0146,111.0463,-14.2334,12.2964,7.9712,1.2259,-7.7473,0.0068228,-0.0056313,-0.0084609
MY2693,29.8612,274.601,184.4991,-11.6066,12.1369,2.4182,0.6938,-0.91016,0.0053649,-0.0028249,-0.004707
MY2741,21.4115,276.9409,255.304,-13.8036,15.2182,4.9179,0.79231,-3.9464,0.007219,-0.0038242,-0.0065436
MY679,19.4731,279.299,125.6653,-11.3442,12.9611,5.1736,0.60035,-2.6175,0.0082278,-0.0052817,-0.0063218
MY920,35.5751,311.1988,124.0173,-13.6707,12.2418,0.078259,0.89034,0.34382,0.0042369,-0.0039897,-0.007055
N2,30.0726,372.7405,95.5949,-3.2069,3.8683,0.94299,0.28406,-0.93424,0.0044892,-0.0034011,-0.0055643
NIC1,37.3012,270.3677,113.2512,-7.5398,8.3377,7.2302,1.3652,-4.8969,0.0056042,-0.0019988,-0.0059367
NIC1107,26.2315,368.8731,148.0757,-8.1735,7.8312,3.1849,0.44915,-2.1625,0.0041707,-0.0032902,-0.0041053
