strain,d_dist_from_food_edge_IQR_medianDiff_all,d_dist_from_food_edge_norm_IQR_medianDiff_all,d_dist_from_food_edge_w_backward_10th_medianDiff_all,d_dist_from_food_edge_w_forward_IQR_medianDiff_all,dist_from_food_edge_IQR_medianDiff_all,dist_from_food_edge_norm_IQR_medianDiff_all,dist_from_food_edge_w_backward_90th_medianDiff_all,dist_from_food_edge_w_backward_IQR_medianDiff_all,dist_from_food_edge_w_forward_50th_medianDiff_all,dist_from_food_edge_w_forward_IQR_medianDiff_all,food_region_edge_duration_50th_medianDiff_all,food_region_edge_frequency_medianDiff_all,food_region_inside_duration_50th_medianDiff_all,food_region_inside_frequency_medianDiff_all,food_region_outside_duration_50th_medianDiff_all,orientation_food_edge_in_edge_10th_medianDiff_all,orientation_food_edge_in_edge_IQR_medianDiff_all,orientation_food_edge_w_backward_90th_medianDiff_all,orientation_food_edge_w_backward_IQR_medianDiff_all,orientation_food_edge_w_forward_10th_medianDiff_all,orientation_food_edge_w_forward_90th_medianDiff_all,orientation_food_edge_w_forward_IQR_medianDiff_all,orientation_food_edge_w_paused_10th_medianDiff_all
JU1242,38.9875,0.051422,-30.8757,39.2879,586.7268,0.79063,854.9679,528.9909,380.3911,699.4531,-14.72,0.015797,-42.96,0.0057258,-14.3,-17.278,19.635,11.0639,15.7614,-8.7744,7.3106,24.7901,-7.5814
JU1246,22.5816,0.03103,-16.6983,23.1715,1074.7506,1.2024,1647.3434,832.0402,452.5675,1003.7269,-8.24,0.018727,-43.64,0.0076577,-6.9,-8.8368,18.5731,18.1619,9.4735,-4.3282,4.5944,19.4162,-60.0579
JU1395,57.8868,0.065767,-35.2279,52.9788,1151.4875,1.4575,563.9407,569.9296,475.5658,987.0939,-10.1,0.010917,-41.66,0.010113,-4.1,-17.7413,36.5924,8.0678,33.1293,-5.4677,4.9705,18.8576,-7.8669
JU1400,22.8043,0.026955,-21.7535,21.7274,552.7766,0.53457,2508.1125,678.6587,310.5587,440.2911,-7.42,0.010002,-47.6,0.0031773,-1.18,-16.2124,25.6525,5.2345,32.4129,-8.9071,0.3899,15.2229,-5.8976
JU1409,37.1382,0.039005,-51.3236,33.3934,473.4238,0.33864,1181.1271,675.7513,438.2835,440.1879,-6.48,0.017772,-30.12,0.018054,-1.64,-17.0461,21.5528,10.276,11.9937,-8.4559,3.0815,18.8442,-36.2905
JU1440,9.6425,0.0087441,-13.8565,11.9962,517.4568,0.59701,1364.5343,349.7972,112.3413,414.9792,-13.92,0.013099,-30.8,0.0043958,-20.12,-1.2638,5.9483,0.64363,10.3766,-1.5346,1.2905,13.0298,26.6853
JU1491,37.4053,0.042342,-10.5336,37.5075,1063.551,1.5561,2271.2399,864.9472,540.1604,962.7473,-6.88,0.014704,-51.96,0.0087964,-12.12,-33.3108,32.2478,-7.1763,32.3584,-12.1749,2.3426,30.7469,-44.3826
JU1530,58.9454,0.063142,-25.4849,62.3432,1316.4915,1.3832,1849.8136,709.5803,561.6668,1217.3215,-5.74,0.017602,-52.76,0.010009,-13.54,-19.5167,29.4051,15.0977,34.9721,-7.5075,7.8284,33.2387,-29.6212
JU1543,-11.5799,-0.012772,13.9105,-12.9301,-1476.498,-1.797,228.9739,152.2273,-441.555,49.2991,-6.94,0.0097203,-32,0.0037356,-19.24,-2.5855,4.0394,-9.1844,-9.5249,-1.4762,-6.8298,-8.059,-37.6903
JU1568,23.8159,0.03006,-17.8122,22.2803,861.3154,0.65412,1025.176,1349.6375,713.1874,879.5585,-9.82,0.013787,-38.72,0.0066575,-19.98,-12.7388,8.6843,8.1711,12.134,-4.3055,3.5588,15.9406,-10.7577
JU1580,14.9766,0.016639,-16.8306,17.015,1118.2817,1.397,2601.9866,1778.6911,465.0063,1091.7294,-7.24,0.0098648,-47.24,0.0073539,-19.5,-18.4224,21.9879,9.7883,27.1,-9.1879,4.3214,20.8725,-31.6097
